num_stacks,containers_per_stack,normalize_delay,n_containers,plan_length,j_old,g_max_theory,mean_gain_observed,max_gain_observed,tau_rel,tau_abs,tau_effective,predicted_update_possible,n_update,n_seeds,observed_any_update,prediction_correct,margin_form,delay_form
3,3,True,9,21,12.454545454545455,0.45454545454545453,0.0,0.0,0.12454545454545456,0.25,0.12454545454545456,True,0,5,False,False,margin=mixed,delay=normalized
4,3,True,12,26,14.462962962962964,0.46296296296296297,0.0,0.0,0.14462962962962964,0.25,0.14462962962962964,True,0,5,False,False,margin=mixed,delay=normalized
4,4,True,16,40,24.475609756097562,0.47560975609756095,0.0,0.0,0.24475609756097563,0.25,0.24475609756097563,True,0,5,False,False,margin=mixed,delay=normalized
5,4,True,20,47,27.479166666666668,0.4791666666666667,0.0,0.0,0.2747916666666667,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
6,4,True,24,54,30.48181818181818,0.4818181818181818,0.0,0.0,0.3048181818181818,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
5,5,True,25,65,40.484848484848484,0.48484848484848486,0.0,0.0,0.40484848484848485,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
7,4,True,28,61,33.483870967741936,0.4838709677419355,0.0,0.0,0.33483870967741935,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
6,5,True,30,74,44.486666666666665,0.4866666666666667,0.001734027552586781,0.001734027552586781,0.44486666666666663,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
8,4,True,32,68,36.48550724637681,0.4855072463768116,0.0,0.0,0.36485507246376814,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
7,5,True,35,83,48.48809523809524,0.4880952380952381,0.008416947884164472,0.008416947884164472,0.4848809523809524,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
10,5,True,50,111,61.49107142857143,0.49107142857142855,0.5142769799660272,0.5142769799660272,0.6149107142857143,0.25,0.25,True,5,5,True,True,margin=mixed,delay=normalized
11,5,True,55,120,65.49173553719008,0.49173553719008267,0.11481037448776306,0.2766687470824678,0.6549173553719009,0.25,0.25,True,2,5,True,True,margin=mixed,delay=normalized
12,5,True,60,129,69.49230769230769,0.49230769230769234,0.0,0.0,0.6949230769230769,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
10,7,True,70,173,103.49425287356321,0.4942528735632184,0.0,0.0,1.0349425287356322,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
12,6,True,72,163,91.4939024390244,0.49390243902439024,0.0,0.0,0.914939024390244,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
14,6,True,84,185,101.49462365591398,0.4946236559139785,0.0,0.0,1.01494623655914,0.25,0.25,True,0,5,False,False,margin=mixed,delay=normalized
3,3,False,9,21,22.0,10.0,1.429277920208483,1.6981808382428376,0.22,,0.22,True,5,5,True,True,margin=relative,delay=actions
4,3,False,12,26,26.5,12.5,6.320242804709714,6.320242804709714,0.265,,0.265,True,5,5,True,True,margin=relative,delay=actions
4,4,False,16,40,43.5,19.5,4.741158085019639,6.53658889262023,0.435,,0.435,True,5,5,True,True,margin=relative,delay=actions
5,4,False,20,47,50.0,23.0,6.765030971559237,13.099611734415795,0.5,,0.5,True,5,5,True,True,margin=relative,delay=actions
6,4,False,24,54,56.5,26.5,10.012943346356275,14.644023180409356,0.5650000000000001,,0.5650000000000001,True,5,5,True,True,margin=relative,delay=actions
