uncertainty_level,freeze_size,lam,method,seed,total_cost_mean,operational_cost_mean,changed_actions_total,runtime_mean_sec,fallback_rate
low,0,0.5,static,23,7.092592592592592,7.092592592592592,0,2.0820233556959363e-07,1.0
low,0,0.5,static,24,7.081018518518519,7.081018518518519,0,2.0271788040796915e-07,1.0
low,0,0.5,static,25,7.010416666666667,7.010416666666667,0,1.7601996660232544e-07,1.0
low,0,0.5,static,26,7.080246913580247,7.080246913580247,0,2.032352818383111e-07,1.0
low,0,0.5,static,27,7.0092592592592595,7.0092592592592595,0,1.8005569775899252e-07,1.0
low,0,0.5,static,28,7.017857142857143,7.017857142857143,0,1.8865934440067837e-07,1.0
low,0,0.5,static,29,7.033333333333334,7.033333333333334,0,1.9632279872894288e-07,1.0
low,0,0.5,static,30,7.0,7.0,0,1.862645149230957e-07,1.0
low,0,0.5,static,31,7.0166666666666675,7.0166666666666675,0,1.948326826095581e-07,1.0
low,0,0.5,static,32,7.128787878787879,7.128787878787879,0,2.0353631539778275e-07,1.0
low,0,0.5,static,33,7.0,7.0,0,2.02407439549764e-07,1.0
low,0,0.5,static,34,7.011904761904761,7.011904761904761,0,2.123415470123291e-07,1.0
low,0,0.5,static,35,7.0586419753086425,7.0586419753086425,0,1.8792019950018988e-07,1.0
low,0,0.5,static,36,7.069444444444444,7.069444444444444,0,2.2103389104207358e-07,1.0
low,0,0.5,static,37,7.037878787878787,7.037878787878787,0,2.004883506081321e-07,1.0
low,0,0.5,static,38,7.0625,7.0625,0,1.885928213596344e-07,1.0
low,0,0.5,static,39,7.0,7.0,0,1.9681950410207114e-07,1.0
low,0,0.5,full_reopt,20,16.259721743368075,7.830896686159845,45,0.00014275891913308037,0.0
low,0,0.5,full_reopt,21,26.305890414041762,7.641727941176471,75,8.512195199728012e-05,0.0
low,0,0.5,full_reopt,22,13.993959732406278,5.803125,45,8.488595485687256e-05,0.0
low,0,0.5,full_reopt,23,21.78534982235433,6.029048656499636,67,8.573341700765822e-05,0.0
low,0,0.5,full_reopt,24,18.91529416974709,5.923611111111112,77,8.449020485083263e-05,0.0
low,0,0.5,full_reopt,25,8.582469560199174,7.010416666666667,11,8.308421820402145e-05,0.0
low,0,0.5,full_reopt,26,14.972128191772027,4.225694444444445,45,8.228752348158095e-05,0.0
low,0,0.5,full_reopt,27,15.586752294409441,8.00925925925926,40,8.728313777181838e-05,0.0
low,0,0.5,full_reopt,28,20.943807677845808,8.873299319727892,89,8.746768747057234e-05,0.0
low,0,0.5,full_reopt,29,17.120085992821597,7.333823529411765,51,8.46806913614273e-05,0.0
low,0,0.5,full_reopt,30,24.590087918863603,5.75,75,8.073216304183006e-05,0.0
low,0,0.5,full_reopt,31,16.997504443208676,6.218198529411764,63,8.431486785411834e-05,0.0
low,0,0.5,full_reopt,32,21.714298002505664,4.914141414141414,87,8.289515972137451e-05,0.0
low,0,0.5,full_reopt,33,22.094738033886458,7.833333333333333,49,8.809504409631093e-05,0.0
low,0,0.5,full_reopt,34,15.294540909661114,7.869047619047619,29,8.652838213103158e-05,0.0
low,0,0.5,full_reopt,35,19.1331305694485,5.703090958605665,63,7.926755481296116e-05,0.0
low,0,0.5,full_reopt,36,21.217667539041464,7.5667526659786715,43,8.557985226313274e-05,0.0
low,0,0.5,full_reopt,37,29.598612263971177,6.018455228981545,131,8.28883864662864e-05,0.0
low,0,0.5,full_reopt,38,17.336172358395075,5.776220383986928,56,8.696410804986954e-05,0.0
low,0,0.5,full_reopt,39,18.46687275255223,7.666666666666667,41,8.936971426010132e-05,0.0
low,0,0.5,periodic,20,9.65172970543669,7.609649122807018,11,1.0802927944395276e-05,0.8888888888888888
low,0,0.5,periodic,21,12.523151022883393,7.516995614035087,17,1.176120713353157e-05,0.875
low,0,0.5,periodic,22,13.113634444541646,7.302631578947368,28,1.8623098731040956e-05,0.8
low,0,0.5,periodic,23,11.099880408162697,7.070987654320987,14,1.0958976215786404e-05,0.8888888888888888
low,0,0.5,periodic,24,10.8152027984804,5.654411764705881,26,1.3916753232479095e-05,0.8333333333333334
low,0,0.5,periodic,25,7.68255813112242,7.010416666666667,5,1.1491123586893082e-05,0.875
low,0,0.5,periodic,26,9.420035748035518,5.374691358024691,17,9.329368670781454e-06,0.8888888888888888
low,0,0.5,periodic,27,9.467343579025416,8.119444444444445,9,1.0877847671508789e-05,0.8888888888888888
low,0,0.5,periodic,28,12.297595262145292,8.800983436853002,27,1.3871384518487112e-05,0.8571428571428571
low,0,0.5,periodic,29,13.578596114386675,7.931666666666667,29,1.8506497144699097e-05,0.8
low,0,0.5,periodic,30,12.76970827392892,7.5,17,1.2483447790145874e-05,0.875
low,0,0.5,periodic,31,10.400730720664972,6.716666666666667,21,1.9274652004241943e-05,0.8
low,0,0.5,periodic,32,11.487536385010548,5.603535353535353,30,1.5071169896559281e-05,0.8181818181818182
low,0,0.5,periodic,33,14.378520042701817,7.666666666666667,17,1.603551208972931e-05,0.8333333333333334
low,0,0.5,periodic,34,12.19249393339643,7.869047619047619,15,1.378623502595084e-05,0.8571428571428571
low,0,0.5,periodic,35,9.434753863318388,6.509259259259259,13,1.0011510716544257e-05,0.8888888888888888
low,0,0.5,periodic,36,11.495367787584419,6.7369281045751634,12,1.4861424763997396e-05,0.8333333333333334
low,0,0.5,periodic,37,11.154999953308037,5.1106060606060595,29,1.4882534742355347e-05,0.8181818181818182
low,0,0.5,periodic,38,8.415743909066375,6.049479166666666,12,1.1651776731014252e-05,0.875
low,0,0.5,periodic,39,10.983660797229826,7.666666666666667,12,1.745857298374176e-05,0.8333333333333334
low,0,0.5,event_triggered_no_stability,20,7.055555555555556,7.055555555555556,0,6.538091434372796e-05,1.0
low,0,0.5,event_triggered_no_stability,21,7.041666666666666,7.041666666666666,0,6.435951218008995e-05,1.0
low,0,0.5,event_triggered_no_stability,22,7.033333333333334,7.033333333333334,0,5.9932470321655273e-05,1.0
low,0,0.5,event_triggered_no_stability,23,7.092592592592592,7.092592592592592,0,6.228437026341756e-05,1.0
